Linea,Horas_trabajo,Unidades_producidas,Porc_capacidad_utilizada,Unidades_vendidas,Ingresos_millones,N_pedidos,Porcentaje_defectos,Porcentaje_devoluciones,Satisfaccion_cliente,Horas_capacitacion,Porcentaje_ausentismo,Porcentaje_rotacion
Linea_26,368,1230,71.9,1095,683,523,6.19,6.51,74.6,34.2,7.64,12.45
Linea_27,364,1219,69.2,1148,758.5,572,6.42,7,73.8,38.7,6.54,8.64
Linea_28,454,1482,83.7,1200,746.4,548,4.87,5.71,82.9,37.2,4.39,9.02
Linea_29,499,1601,87.8,1368,930.3,613,4.51,4.39,84.5,34.4,4.94,8
Linea_30,415,1355,76.7,1265,881.9,619,6.03,5.95,75.3,24.8,6.53,10.46
Linea_31,383,1201,74.1,1122,779.4,541,4.71,5.76,81.7,31.1,5.94,10.61
Linea_32,410,1344,79.6,939,552,421,3.99,4.9,86.2,33,4.83,7.55
Linea_33,506,1575,87.5,1075,689.8,488,6.45,6.97,74,25.9,6.15,12.06
Linea_34,471,1561,82.7,1185,776,537,7.41,7.97,63.8,41.1,6.03,11.68
Linea_35,448,1490,82.6,1398,944.7,651,3.72,3.71,88.3,47.4,4.68,5.22
Linea_36,440,1379,77.6,1066,653.8,493,5.1,5.81,77.9,39,6.24,6.6
Linea_37,356,1116,67.4,894,520,422,7.34,7.87,66.1,20,6.52,11.84
Linea_38,419,1271,77.2,1129,702.1,512,3.81,3.45,88.3,40.5,5.66,8.63
Linea_39,409,1352,77.9,1135,715.1,535,6.08,6.86,73.7,33.6,6.61,10.61
Linea_40,419,1396,79.8,1493,1070.4,735,4.5,4.74,85.1,36.7,4.63,9.21
Linea_41,489,1565,83.8,1285,846.6,578,5.17,5.75,79,41,5.29,10.48
Linea_42,328,1055,66,1321,897.1,628,5.66,6.54,76.3,31.4,8.23,12.54
Linea_43,315,1064,64.4,981,556.9,479,5.2,6.23,78.3,33.1,5.32,8.57
Linea_44,478,1546,87.9,1192,720.6,541,3.21,3.57,90.3,42.2,2.82,6.41
Linea_45,381,1203,75.6,1189,753.2,571,3.55,3.44,91.6,36.9,3.66,6.93
Linea_46,491,1535,83.4,1300,840.5,595,6.93,7.13,71.5,20.4,6.16,11.23
Linea_47,315,1038,60.6,1662,1247.5,841,4.91,5.53,80.7,28.5,6.87,12.42
Linea_48,496,1486,85.5,895,498.3,387,6.58,7.13,71.1,27.1,5.98,10.4
Linea_49,469,1495,83.3,1132,777.3,542,4.68,5.01,83.1,27.3,6.66,4.81
Linea_50,430,1400,81.5,1382,954.5,687,5.58,5.54,81,42.7,3.32,6.71
Linea_51,419,1363,80.8,1021,665.4,479,3.11,3.93,90.5,47.2,5.56,7.29
Linea_52,440,1430,81.1,1147,758.6,552,8.27,9.13,63.5,34.5,8.51,11.03
Linea_53,420,1394,77.1,1381,964,653,4.67,4.92,84.5,35.5,4.61,8.54
Linea_54,513,1493,89.6,1122,670.4,497,4.33,4.75,83,44.2,4.91,9.57
Linea_55,255,898,58.3,975,637.6,468,7.23,8.48,66.5,22,6.84,11.77
Linea_56,479,1551,86.4,1424,952.5,665,5.49,6.07,77.1,34.6,4.94,11.9
Linea_57,412,1393,80.1,1257,831.3,563,4.39,4.57,82.5,27.4,5.32,8.25
Linea_58,389,1252,75.1,1173,712.1,547,4.03,4.12,88.5,36.5,7.05,7.68
Linea_59,493,1540,86.4,1281,819,556,7.77,8.85,65.4,29.5,8.32,12.37
Linea_60,401,1321,75.6,1227,835,549,5.69,6.52,74.2,21.8,6.01,7.83
